	Gene1 (Latimeria)	Score1	Gene2 (Danio)	Score2
10402	XP_014343579.1	2043	XP_002662342.2	2056
10403	XP_014343580.1	116 	XP_003201448.1	134 
10404	XP_014343581.1	700 	XP_021332681.1	721 
10405	XP_014343582.1	480 	NP_001035398.1	480 
10406	XP_014343584.1	188 	XP_021323333.1	188 
10407	XP_014343586.1	1197	XP_017209265.2	1244
10408	XP_014343587.1	3709	XP_017212868.1	3688
10409	XP_014343588.1	1430	XP_005166793.1	1402
10410	XP_014343590.1	855 	XP_021332543.1	1270
10411	XP_014343591.1	351 	XP_001338299.2	370 
10412	XP_014343598.1	1797	XP_017212243.1	1756
10413	XP_014343600.1	1973	XP_009301020.1	1942
10414	XP_014343607.1	238 	NP_001006032.1	238 
10415	XP_014343621.1	53.9	XP_002665931.1	53.9
10416	XP_014343623.1	136 	XP_005162710.1	136 
10417	XP_014343626.1	3032	NP_001017549.2	3032
10418	XP_014343627.1	1092	XP_021334367.1	1089
10419	XP_014343628.1	83.6	XP_021328957.1	83.6
10420	XP_014343629.1	1166	NP_997893.1	1166
10421	XP_014343630.1	264 	NP_001017854.1	264 
10422	XP_014343631.1	2277	XP_021336009.1	2259
10423	XP_014343634.1	431 	NP_001017702.1	431 
10424	XP_014343635.1	1694	NP_705944.1	1669
10425	XP_014343637.1	873 	XP_005167232.1	874 
10426	XP_014343639.1	360 	NP_998671.1	379 
10427	XP_014343640.1	217 	XP_021330925.1	238 
10428	XP_014343641.1	449 	NP_998451.1	469 
10429	XP_014343642.1	1060	XP_021330926.1	1095
10430	XP_014343644.1	377 	NP_001025279.1	237 
10431	XP_014343648.1	1325	XP_005160034.1	1363
10432	XP_014343650.1	813 	NP_001073481.1	800 
10433	XP_014343651.1	88.2	XP_706374.4	90.1
10434	XP_014343653.1	162 	NP_001002077.1	162 
10435	XP_014343657.1	1145	NP_998216.2	1145
10436	XP_014343659.1	54.7	XP_021329590.1	38.1
10437	XP_014343660.1	2231	XP_686812.5	2221
10438	XP_014343663.1	1077	XP_021326168.1	1076
10439	XP_014343664.1	2388	XP_005157191.1	2310
10440	XP_014343669.1	4614	XP_009292609.1	4614
10441	XP_014343670.1	390 	XP_005159705.1	390 
10442	XP_014343671.1	179 	NP_001076559.1	204 
10443	XP_014343672.1	333 	XP_017209591.1	333 
10444	XP_014343673.1	390 	XP_009291322.1	384 
10445	XP_014343674.1	464 	NP_001315276.1	464 
10446	XP_014343676.1	502 	NP_001004108.2	489 
10447	XP_014343678.1	325 	XP_005159703.1	333 
10448	XP_014343679.1	523 	XP_017213107.1	530 
10449	XP_014343680.1	424 	XP_021329377.1	421 
10450	XP_014343687.1	112 	NP_001122228.1	112 
10451	XP_014343688.1	736 	XP_005159357.1	742 
10452	XP_014343689.1	1908	XP_021326396.1	1954
10453	XP_014343692.1	323 	NP_944591.1	309 
10454	XP_014343694.1	1897	XP_005163213.1	1907
10455	XP_014343695.1	264 	NP_001025434.1	264 
10456	XP_014343696.1	738 	NP_001076531.2	751 
10457	XP_014343698.1	564 	XP_021328968.1	587 
10458	XP_014343700.1	198 	NP_998163.1	218 
10459	XP_014343701.1	257 	XP_009290965.1	249 
10460	XP_014343702.1	364 	NP_001017775.2	365 
10461	XP_014343706.1	519 	XP_001923815.2	497 
10462	XP_014343712.1	474 	XP_005159510.1	506 
10463	XP_014343714.1	419 	XP_003200236.2	413 
10464	XP_014343716.1	88.6	XP_021322589.1	88.2
10465	XP_014343717.1	168 	XP_021328579.1	168 
10466	XP_014343720.1	1073	XP_693576.4	1073
10467	XP_014343721.1	1552	XP_009295129.1	1496
10468	XP_014343722.1	1258	XP_021322587.1	1278
10469	XP_014343723.1	592 	XP_017214444.1	608 
10470	XP_014343724.1	449 	XP_005174247.1	447 
10471	XP_014343725.1	2201	XP_021334267.1	2189
10472	XP_014343730.1	76.3	XP_021336621.1	76.3
10473	XP_014343731.1	320 	NP_001185690.1	345 
10474	XP_014343732.1	501 	XP_009305544.1	483 
10475	XP_014343738.1	211 	NP_001076498.1	211 
10476	XP_014343740.1	753 	XP_005166266.1	753 
10477	XP_014343741.1	641 	XP_021330160.1	641 
10478	XP_014343750.1	466 	XP_009294712.1	466 
10479	XP_014343753.1	465 	XP_009294713.1	465 
10480	XP_014343757.1	385 	NP_956309.2	451 
10481	XP_014343759.1	270 	XP_021325139.1	267 
10482	XP_014343763.1	433 	XP_690914.3	395 
10483	XP_014343764.1	970 	XP_002663368.2	994 
10484	XP_014343771.1	371 	XP_017213243.2	362 
10485	XP_014343777.1	1425	NP_001289149.1	1397
10486	XP_014343780.1	573 	XP_005167974.1	573 
10487	XP_014343789.1	1053	XP_003199699.1	1054
10488	XP_014343791.1	263 	XP_017213956.1	276 
10489	XP_014343793.1	1218	XP_697139.4	627 
10490	XP_014343794.1	340 	NP_001002621.1	340 
10491	XP_014343795.1	145 	NP_001076329.1	145 
10492	XP_014343799.1	1269	XP_009292180.1	1280
10493	XP_014343800.1	1253	XP_005171051.1	1264
10494	XP_014343801.1	292 	XP_021325700.1	280 
10495	XP_014343804.1	840 	XP_021330967.1	838 
10496	XP_014343807.1	3070	NP_001032756.3	2976
10497	XP_014343808.1	1701	XP_021328895.1	1733
10498	XP_014343812.1	860 	XP_005169019.1	860 
10499	XP_014343814.1	1875	XP_695556.2	1864
10500	XP_014343815.1	1357	XP_009300546.1	1349
10501	XP_014343816.1	1348	XP_009300547.1	1340
10502	XP_014343818.1	1336	XP_017212013.1	1348
10503	XP_014343820.1	1342	XP_017212015.1	1342
10504	XP_014343822.1	399 	NP_001243554.1	399 
10505	XP_014343823.1	375 	NP_001025260.2	390 
10506	XP_014343825.1	373 	NP_001005306.3	377 
10507	XP_014343826.1	2186	XP_021330396.1	2178
10508	XP_014343829.1	964 	XP_689331.3	1007
10509	XP_014343831.1	2370	XP_001923357.1	2370
10510	XP_014343833.1	1319	NP_001003846.1	1319
10511	XP_014343835.1	509 	NP_001002602.1	509 
10512	XP_014343837.1	191 	XP_021324468.1	165 
10513	XP_014343838.1	1160	XP_001340708.3	1161
10514	XP_014343839.1	2159	XP_021327665.1	2144
10515	XP_014343844.1	366 	NP_001019548.1	366 
10516	XP_014343845.1	1437	XP_700384.3	1436
10517	XP_014343846.1	3254	XP_009293759.1	3206
10518	XP_014343847.1	289 	XP_683563.5	289 
10519	XP_014343849.1	414 	XP_697816.4	414 
10520	XP_014343850.1	1128	XP_005158866.1	1137
10521	XP_014343851.1	150 	NP_001314710.1	150 
10522	XP_014343853.1	1103	XP_001921353.3	1095
10523	XP_014343857.1	1568	XP_005172586.1	1535
10524	XP_014343865.1	963 	NP_001139172.1	963 
10525	XP_014343868.1	1723	NP_001334612.1	1799
10526	XP_014343869.1	1439	XP_021336205.1	1441
10527	XP_014343870.1	1438	XP_021336206.1	1439
10528	XP_014343871.1	1313	XP_005157041.1	1285
10529	XP_014343877.1	800 	XP_005159305.1	766 
10530	XP_014343878.1	1575	XP_021323628.1	1603
10531	XP_014343879.1	255 	NP_571651.1	295 
10532	XP_014343880.1	2065	NP_001038576.1	2046
10533	XP_014343883.1	301 	NP_001038522.1	319 
10534	XP_014343885.1	978 	XP_688873.2	967 
10535	XP_014343886.1	611 	XP_005160950.1	602 
10536	XP_014343888.1	688 	NP_001007428.2	688 
10537	XP_014343889.1	720 	XP_021333273.1	755 
10538	XP_014343891.1	316 	XP_005160947.1	330 
10539	XP_014343892.1	506 	NP_778207.1	508 
10540	XP_014343894.1	543 	XP_005157433.1	543 
10541	XP_014343895.1	179 	NP_001122172.1	179 
10542	XP_014343899.1	416 	NP_001017755.1	416 
10543	XP_014343900.1	1633	XP_005165630.1	1619
10544	XP_014343901.1	467 	XP_021332338.1	436 
10545	XP_014343903.1	139 	XP_017208341.1	153 
10546	XP_014343904.1	799 	XP_695807.5	819 
10547	XP_014343905.1	8113	XP_021332871.1	8210
10548	XP_014343906.1	241 	NP_001006062.1	256 
10549	XP_014343907.1	1310	NP_997924.1	2338
10550	XP_014343908.1	741 	XP_021332546.1	741 
10551	XP_014343909.1	588 	XP_005166054.1	571 
10552	XP_014343913.1	359 	XP_002662884.1	359 
10553	XP_014343914.1	405 	XP_009291909.1	405 
10554	XP_014343919.1	499 	XP_002666914.2	539 
10555	XP_014343921.1	457 	NP_001012636.1	425 
10556	XP_014343923.1	1138	XP_021329555.1	1115
10557	XP_014343929.1	489 	XP_021333068.1	489 
10558	XP_014343931.1	721 	NP_001018547.2	716 
10559	XP_014343934.1	92.0	XP_021324913.1	109 
10560	XP_014343935.1	4471	NP_999974.1	4468
10561	XP_014343936.1	595 	NP_571958.2	623 
10562	XP_014343939.1	548 	XP_005156904.1	533 
10563	XP_014343940.1	526 	NP_001292550.1	485 
10564	XP_014343943.1	572 	XP_009305372.1	560 
10565	XP_014343944.1	282 	XP_021328288.1	236 
10566	XP_014343947.1	239 	NP_001007318.1	239 
10567	XP_014343950.1	637 	XP_009303289.1	666 
10568	XP_014343959.1	570 	NP_001338591.1	574 
10569	XP_014343962.1	402 	NP_001025428.1	402 
10570	XP_014343964.1	808 	NP_001315307.1	786 
10571	XP_014343965.1	466 	NP_001017701.1	466 
10572	XP_014343966.1	2742	XP_021325930.1	2794
10573	XP_014343969.1	1650	XP_021332493.1	1678
10574	XP_014343972.1	381 	NP_991169.1	358 
10575	XP_014343973.1	803 	XP_005174027.1	812 
10576	XP_014343975.1	1624	NP_001104714.1	1589
10577	XP_014343976.1	1030	NP_001092723.1	1030
10578	XP_014343977.1	580 	NP_001038471.1	608 
10579	XP_014343979.1	1345	XP_017209649.2	1360
10580	XP_014343982.1	652 	NP_001334620.1	639 
10581	XP_014343984.1	1086	NP_956571.1	1086
10582	XP_014343987.1	488 	NP_998670.1	464 
10583	XP_014343988.1	1338	XP_009305067.2	1348
10584	XP_014343990.1	1151	XP_009305069.1	1151
10585	XP_014343992.1	369 	NP_001300679.1	369 
10586	XP_014344001.1	811 	XP_005162265.1	823 
10587	XP_014344004.1	1165	XP_005162240.1	1189
10588	XP_014344007.1	358 	XP_009305373.1	358 
10589	XP_014344009.1	1113	XP_003201251.1	1079
10590	XP_014344014.1	97.4	XP_005160529.1	97.4
10591	XP_014344020.1	843 	XP_005162219.1	843 
10592	XP_014344021.1	461 	NP_956676.1	445 
10593	XP_014344023.1	316 	XP_686873.2	276 
10594	XP_014344024.1	1211	XP_021328171.1	1186
10595	XP_014344027.1	763 	XP_009300998.1	748 
10596	XP_014344029.1	2669	NP_001038590.1	2689
10597	XP_014344030.1	942 	NP_001093608.3	958 
10598	XP_014344032.1	857 	XP_009294617.1	872 
10599	XP_014344033.1	1516	XP_009294613.1	1496
10600	XP_014344036.1	1298	NP_001186801.1	1316
10601	XP_014344037.1	295 	NP_001025241.2	293 
10602	XP_014344043.1	850 	XP_700127.3	831 
10603	XP_014344045.1	634 	NP_001005206.1	634 
10604	XP_014344046.1	444 	NP_001099149.2	444 
10605	XP_014344053.1	733 	NP_001013464.2	698 
10606	XP_014344055.1	1096	XP_009289549.1	1089
10607	XP_014344056.1	3786	XP_021326870.1	3798
10608	XP_014344058.1	683 	XP_009292109.1	692 
10609	XP_014344059.1	589 	NP_998531.2	584 
10610	XP_014344061.1	734 	NP_957183.1	734 
10611	XP_014344065.1	957 	XP_009294762.1	550 
10612	XP_014344071.1	2798	XP_017211455.1	2780
10613	XP_014344073.1	600 	XP_691832.4	584 
10614	XP_014344074.1	3227	XP_009301943.1	3237
10615	XP_014344080.1	308 	NP_001082984.1	293 
10616	XP_014344082.1	887 	NP_001002336.1	887 
10617	XP_014344083.1	892 	XP_009296559.2	892 
10618	XP_014344089.1	1182	XP_009299941.1	1092
10619	XP_014344090.1	1177	XP_009299942.1	1088
10620	XP_014344091.1	1177	XP_009299943.1	1088
10621	XP_014344092.1	1173	XP_017211644.1	1085
10622	XP_014344094.1	1343	XP_009302008.1	1401
10623	XP_014344095.1	275 	XP_021332082.1	271 
10624	XP_014344098.1	267 	NP_001002346.1	267 
10625	XP_014344099.1	573 	NP_001007379.1	573 
10626	XP_014344102.1	338 	NP_001307283.1	338 
10627	XP_014344103.1	238 	NP_001002114.1	238 
10628	XP_014344105.1	1748	XP_021333895.1	1747
10629	XP_014344108.1	1913	XP_695742.6	2040
10630	XP_014344109.1	906 	NP_955836.2	907 
10631	XP_014344110.1	2813	XP_009305622.1	2797
10632	XP_014344112.1	506 	XP_009289664.1	489 
10633	XP_014344122.1	593 	NP_001093520.2	564 
10634	XP_014344128.1	1861	XP_021322580.1	1868
10635	XP_014344135.1	597 	XP_017208598.1	609 
10636	XP_014344141.1	1048	XP_009290530.1	1034
10637	XP_014344147.1	904 	XP_687092.1	919 
10638	XP_014344149.1	515 	NP_997819.1	498 
10639	XP_014344151.1	1294	XP_009290388.1	1293
10640	XP_014344154.1	388 	XP_009290741.1	390 
10641	XP_014344156.1	265 	NP_001038459.1	264 
10642	XP_014344157.1	618 	NP_956795.1	651 
10643	XP_014344158.1	1514	NP_001035135.2	1485
10644	XP_014344159.1	501 	NP_958476.2	835 
10645	XP_014344161.1	300 	NP_956387.1	300 
10646	XP_014344164.1	329 	XP_005174009.1	327 
10647	XP_014344165.1	998 	XP_693171.3	998 
10648	XP_014344167.1	1144	NP_001274478.1	1166
10649	XP_014344170.1	1304	XP_017207311.2	1337
10650	XP_014344176.1	37.4	XP_009302539.1	37.7
10651	XP_014344177.1	1051	NP_001025262.1	1051
10652	XP_014344178.1	1509	XP_017213029.1	1528
10653	XP_014344180.1	178 	NP_001070767.1	192 
10654	XP_014344182.1	230 	XP_689123.2	230 
10655	XP_014344183.1	1119	NP_001268769.1	1104
10656	XP_014344187.1	478 	XP_687640.2	474 
10657	XP_014344188.1	377 	NP_001005994.1	377 
10658	XP_014344189.1	1352	XP_005155853.1	1373
10659	XP_014344190.1	266 	XP_005167101.1	279 
10660	XP_014344191.1	1008	NP_001188378.1	1008
10661	XP_014344192.1	1952	NP_001265737.1	1950
10662	XP_014344193.1	666 	NP_001188337.1	666 
10663	XP_014344195.1	768 	XP_005160060.1	786 
10664	XP_014344197.1	174 	NP_001071027.1	174 
10665	XP_014344199.1	1511	NP_976066.2	1524
10666	XP_014344201.1	521 	XP_001920944.4	527 
10667	XP_014344203.1	3241	XP_009294934.1	3013
10668	XP_014344204.1	154 	XP_021334096.1	147 
10669	XP_014344213.1	387 	NP_956465.2	371 
10670	XP_014344215.1	779 	XP_021330820.1	785 
10671	XP_014344216.1	399 	XP_001336634.1	397 
10672	XP_014344217.1	727 	XP_005162005.1	728 
10673	XP_014344218.1	527 	XP_021325529.1	341 
10674	XP_014344223.1	601 	XP_021331663.1	608 
10675	XP_014344225.1	325 	XP_005170081.1	325 
10676	XP_014344227.1	220 	NP_001116101.1	215 
10677	XP_014344228.1	6262	XP_009304459.3	6317
10678	XP_014344229.1	2789	XP_021326622.1	2820
10679	XP_014344231.1	186 	NP_001156671.1	186 
10680	XP_014344232.1	969 	NP_956248.1	952 
10681	XP_014344233.1	476 	XP_005174111.1	491 
10682	XP_014344234.1	414 	XP_021336327.1	414 
10683	XP_014344235.1	464 	NP_991283.2	466 
10684	XP_014344243.1	392 	XP_005164592.1	376 
10685	XP_014344245.1	334 	NP_956524.1	338 
10686	XP_014344248.1	266 	NP_001076332.2	260 
10687	XP_014344249.1	1001	NP_956624.1	1019
10688	XP_014344250.1	283 	XP_005171718.2	269 
10689	XP_014344251.1	3051	XP_021330383.1	3105
10690	XP_014344252.1	1263	NP_001098599.1	1281
10691	XP_014344255.1	724 	NP_001338606.1	743 
10692	XP_014344265.1	330 	NP_001073423.2	345 
10693	XP_014344267.1	816 	XP_682775.7	786 
10694	XP_014344273.1	317 	NP_956552.1	304 
10695	XP_014344274.1	82.4	NP_991140.1	78.6
10696	XP_014344275.1	328 	XP_009297814.1	328 
10697	XP_014344280.1	327 	NP_001153400.1	327 
10698	XP_014344285.1	949 	XP_021325880.1	949 
10699	XP_014344287.1	924 	XP_021326532.1	939 
10700	XP_014344292.1	548 	XP_017206727.1	530 
10701	XP_014344293.1	56.6	XP_021334026.1	59.3
10702	XP_014344296.1	1627	NP_956840.1	1616
10703	XP_014344301.1	406 	NP_001018134.1	386 
10704	XP_014344303.1	2324	NP_001182543.1	2333
10705	XP_014344304.1	874 	XP_005159313.1	874 
10706	XP_014344311.1	171 	NP_997746.1	172 
10707	XP_014344314.1	561 	XP_697757.4	578 
10708	XP_014344325.1	844 	XP_683113.5	825 
10709	XP_014344332.1	1782	XP_021328673.1	1764
10710	XP_014344333.1	1764	XP_021328674.1	1748
10711	XP_014344337.1	618 	XP_009292229.1	634 
10712	XP_014344340.1	526 	NP_001002522.1	541 
10713	XP_014344343.1	95.9	XP_021329542.1	95.5
10714	XP_014344344.1	460 	NP_001103502.1	460 
10715	XP_014344346.1	103 	NP_001230107.1	103 
10716	XP_014344348.1	634 	XP_021326203.1	626 
10717	XP_014344353.1	858 	NP_957257.1	856 
10718	XP_014344354.1	707 	NP_001314753.1	684 
10719	XP_014344356.1	691 	NP_956068.3	687 
10720	XP_014344358.1	375 	XP_021328415.1	373 
10721	XP_014344363.1	1203	NP_919364.1	1216
10722	XP_014344366.1	477 	XP_017209510.2	474 
10723	XP_014344370.1	263 	XP_009300729.1	280 
10724	XP_014344372.1	751 	NP_001315122.1	754 
10725	XP_014344373.1	953 	XP_021336521.1	973 
10726	XP_014344374.1	653 	XP_002667403.3	654 
10727	XP_014344376.1	269 	NP_955874.2	263 
10728	XP_014344378.1	612 	XP_021336925.1	1129
10729	XP_014344379.1	813 	NP_001135738.1	813 
10730	XP_014344386.1	164 	NP_001314953.1	164 
10731	XP_014344387.1	165 	NP_001003607.1	165 
10732	XP_014344388.1	1266	XP_021325304.1	1280
10733	XP_014344391.1	657 	NP_001038675.1	701 
10734	XP_014344392.1	1070	NP_001128601.1	1070
10735	XP_014344393.1	766 	XP_002662446.2	727 
10736	XP_014344394.1	338 	NP_001070228.1	289 
10737	XP_014344398.1	122 	NP_998403.1	143 
10738	XP_014344399.1	201 	XP_003201179.1	201 
10739	XP_014344400.1	456 	XP_688995.3	437 
10740	XP_014344401.1	298 	XP_005174026.1	422 
10741	XP_014344402.1	729 	XP_005162456.1	739 
10742	XP_014344409.1	1001	NP_898895.2	1001
10743	XP_014344411.1	522 	XP_009302639.1	522 
10744	XP_014344414.1	735 	NP_001038850.2	761 
10745	XP_014344415.1	632 	XP_686507.3	544 
10746	XP_014344416.1	496 	XP_003199180.2	496 
10747	XP_014344418.1	706 	NP_998468.1	706 
10748	XP_014344419.1	51.2	XP_002663231.1	66.2
10749	XP_014344420.1	1277	XP_021334155.1	1270
10750	XP_014344422.1	311 	NP_001116534.1	311 
10751	XP_014344424.1	285 	XP_021334397.1	838 
10752	XP_014344425.1	568 	XP_682770.2	504 
10753	XP_014344426.1	665 	XP_009303168.1	665 
10754	XP_014344427.1	572 	XP_021334355.1	572 
10755	XP_014344430.1	672 	NP_001099064.1	665 
10756	XP_014344431.1	625 	XP_696879.5	627 
10757	XP_014344436.1	511 	NP_001186836.1	554 
10758	XP_014344439.1	525 	XP_005173013.2	525 
10759	XP_014344440.1	490 	NP_001025238.2	512 
10760	XP_014344444.1	969 	XP_021326053.1	952 
10761	XP_014344447.1	296 	NP_001093546.1	296 
10762	XP_014344449.1	2865	XP_021322101.1	2782
10763	XP_014344450.1	1568	XP_001343838.1	1586
10764	XP_014344453.1	374 	XP_002664688.1	374 
10765	XP_014344455.1	102 	NP_001038335.1	120 
10766	XP_014344456.1	1115	XP_005157727.1	1100
10767	XP_014344457.1	486 	NP_571070.1	486 
10768	XP_014344458.1	408 	NP_001076270.1	393 
10769	XP_014344459.1	1488	XP_005166515.1	1511
10770	XP_014344460.1	130 	XP_021330467.1	130 
10771	XP_014344472.1	351 	NP_001073671.1	375 
10772	XP_014344474.1	275 	NP_001002425.1	275 
10773	XP_014344477.1	1607	XP_002662899.3	1594
10774	XP_014344479.1	1392	NP_001314965.1	1378
10775	XP_014344485.1	1021	XP_021328210.1	1004
10776	XP_014344486.1	781 	XP_021328209.1	786 
10777	XP_014344487.1	677 	XP_021333549.1	680 
10778	XP_014344488.1	1455	NP_571855.1	1434
10779	XP_014344489.1	1436	XP_009301476.1	1414
10780	XP_014344490.1	1083	XP_021323262.1	1111
10781	XP_014344491.1	195 	XP_001332567.4	195 
10782	XP_014344492.1	920 	XP_005168896.1	945 
10783	XP_014344499.1	476 	XP_009301480.1	476 
10784	XP_014344501.1	192 	NP_001077328.1	188 
10785	XP_014344511.1	153 	XP_002664081.2	151 
10786	XP_014344515.1	235 	XP_005170064.1	249 
10787	XP_014344518.1	148 	NP_001038868.1	148 
10788	XP_014344522.1	427 	XP_009290586.1	397 
10789	XP_014344524.1	607 	XP_005157851.1	597 
10790	XP_014344525.1	1025	XP_001338018.1	1016
10791	XP_014344529.1	1252	NP_957117.1	1230
10792	XP_014344530.1	239 	NP_001108537.1	254 
10793	XP_014344531.1	235 	XP_021332005.1	249 
10794	XP_014344532.1	229 	XP_021332007.1	244 
10795	XP_014344536.1	1029	XP_021336954.1	1049
10796	XP_014344546.1	1395	XP_021334181.1	1477
10797	XP_014344548.1	738 	XP_009300039.1	728 
10798	XP_014344549.1	723 	XP_009300040.1	689 
10799	XP_014344551.1	432 	NP_571133.1	444 
10800	XP_014344552.1	2812	XP_002662484.2	2813
10801	XP_014344553.1	1228	XP_009300702.1	1239
10802	XP_014344556.1	590 	NP_998327.1	573 
10803	XP_014344557.1	881 	XP_017212114.1	1293
10804	XP_014344558.1	446 	XP_002667883.3	433 
10805	XP_014344560.1	80.5	NP_840072.3	65.9
10806	XP_014344561.1	133 	XP_005159119.1	112 
10807	XP_014344562.1	322 	XP_017207529.1	319 
10808	XP_014344567.1	504 	XP_688629.5	437 
10809	XP_014344570.1	570 	NP_001107093.1	582 
10810	XP_014344571.1	512 	NP_001103946.1	512 
10811	XP_014344572.1	164 	XP_021332322.1	174 
10812	XP_014344575.1	259 	XP_021332627.1	262 
10813	XP_014344577.1	468 	NP_001017640.1	457 
10814	XP_014344579.1	295 	NP_001034898.1	295 
10815	XP_014344581.1	2110	XP_021334979.1	2072
10816	XP_014344582.1	67.0	XP_001342377.2	66.6
10817	XP_014344589.1	1979	XP_021332400.1	2029
10818	XP_014344590.1	506 	XP_009292656.1	520 
10819	XP_014344591.1	807 	XP_693275.6	807 
10820	XP_014344597.1	2127	XP_689120.5	2182
10821	XP_014344598.1	1418	XP_009302483.1	1488
10822	XP_014344603.1	1175	NP_001233589.2	1368
10823	XP_014344606.1	939 	XP_002665971.2	952 
10824	XP_014344610.1	798 	XP_698601.6	803 
10825	XP_014344611.1	80.1	XP_021329941.1	80.5
10826	XP_014344612.1	1105	NP_998554.1	1106
10827	XP_014344613.1	503 	XP_017214455.1	512 
10828	XP_014344616.1	665 	XP_021336516.1	681 
10829	XP_014344617.1	669 	XP_017214456.1	680 
10830	XP_014344620.1	327 	XP_005167314.1	327 
10831	XP_014344623.1	627 	XP_021336515.1	638 
10832	XP_014344629.1	803 	XP_021336517.1	796 
10833	XP_014344630.1	745 	XP_021336518.1	732 
10834	XP_014344631.1	1278	XP_009305516.1	942 
10835	XP_014344633.1	197 	XP_005160745.1	197 
10836	XP_014344634.1	628 	XP_689912.4	648 
10837	XP_014344636.1	1291	XP_009302181.2	1311
10838	XP_014344637.1	891 	XP_688031.4	906 
10839	XP_014344641.1	458 	XP_009293073.1	459 
10840	XP_014344645.1	8508	XP_005160777.1	8518
10841	XP_014344646.1	397 	XP_009296769.1	383 
10842	XP_014344647.1	2613	XP_021333402.1	2659
10843	XP_014344648.1	618 	XP_009301243.1	618 
10844	XP_014344651.1	1251	XP_021326433.1	1251
10845	XP_014344652.1	333 	NP_001074097.2	343 
10846	XP_014344656.1	111 	NP_001230078.1	112 
10847	XP_014344659.1	302 	NP_957094.1	333 
10848	XP_014344662.1	769 	XP_695795.7	757 
10849	XP_014344663.1	917 	XP_009295204.2	906 
10850	XP_014344667.1	1237	XP_686077.3	1267
10851	XP_014344668.1	374 	NP_001001814.1	374 
10852	XP_014344675.1	462 	XP_017207706.2	462 
10853	XP_014344677.1	593 	NP_001038208.1	549 
10854	XP_014344679.1	230 	NP_001333169.1	236 
10855	XP_014344681.1	951 	XP_005173666.1	935 
10856	XP_014344684.1	911 	XP_005173668.1	895 
10857	XP_014344685.1	969 	XP_005173667.1	954 
10858	XP_014344687.1	906 	XP_003200463.2	891 
10859	XP_014344690.1	882 	XP_009291651.1	867 
10860	XP_014344697.1	532 	XP_021325138.1	532 
10861	XP_014344699.1	604 	NP_001003864.1	603 
10862	XP_014344700.1	695 	NP_001014375.1	694 
10863	XP_014344701.1	675 	NP_001020359.1	675 
10864	XP_014344702.1	1098	XP_021337145.1	1094
10865	XP_014344705.1	420 	XP_021335874.1	425 
10866	XP_014344707.1	652 	XP_698873.4	657 
10867	XP_014344709.1	2535	XP_005156555.1	2526
10868	XP_014344712.1	220 	NP_001153460.1	220 
10869	XP_014344718.1	215 	XP_687482.4	223 
10870	XP_014344719.1	247 	NP_956815.1	247 
10871	XP_014344720.1	478 	XP_005168769.1	478 
10872	XP_014344729.1	310 	NP_001314691.1	310 
10873	XP_014344735.1	201 	NP_001122014.1	191 
10874	XP_014344736.1	504 	XP_021334604.1	479 
10875	XP_014344739.1	3088	XP_021334591.1	3107
10876	XP_014344743.1	470 	XP_009292984.1	490 
10877	XP_014344746.1	4806	XP_684360.5	2803
10878	XP_014344752.1	379 	XP_684073.2	393 
10879	XP_014344755.1	513 	XP_021324475.1	493 
10880	XP_014344756.1	174 	NP_956587.2	177 
10881	XP_014344757.1	1891	NP_001139087.1	1889
10882	XP_014344758.1	1268	NP_001139034.1	1254
10883	XP_014344759.1	1935	XP_021334949.1	1937
10884	XP_014344760.1	1371	XP_005155634.1	1321
10885	XP_014344762.1	776 	XP_005155616.1	776 
10886	XP_014344763.1	766 	XP_005155617.1	766 
10887	XP_014344764.1	106 	NP_001006084.1	106 
10888	XP_014344765.1	992 	NP_998520.1	1009
10889	XP_014344770.1	1569	XP_005164199.1	1569
10890	XP_014344771.1	2283	NP_001244075.1	2266
10891	XP_014344776.1	806 	XP_017211446.2	800 
10892	XP_014344782.1	586 	XP_699818.6	582 
10893	XP_014344784.1	550 	NP_001035477.1	550 
10894	XP_014344785.1	391 	NP_956926.1	391 
10895	XP_014344789.1	4123	XP_009302584.1	4098
10896	XP_014344792.1	1590	XP_009303062.1	1560
10897	XP_014344795.1	208 	XP_001332088.1	208 
10898	XP_014344798.1	1076	XP_021334327.1	1308
10899	XP_014344804.1	428 	XP_001923259.1	436 
10900	XP_014344807.1	991 	XP_021334333.1	1199
10901	XP_014344808.1	859 	XP_021334334.1	1068
10902	XP_014344811.1	443 	NP_955910.1	443 
10903	XP_014344814.1	639 	XP_021330863.1	640 
10904	XP_014344815.1	483 	NP_001038334.2	488 
10905	XP_014344817.1	365 	NP_001071270.1	379 
10906	XP_014344821.1	72.4	XP_021322144.1	72.4
10907	XP_014344828.1	644 	NP_001122011.1	635 
10908	XP_014344829.1	197 	NP_001038486.1	176 
10909	XP_014344831.1	293 	XP_017208189.1	295 
10910	XP_014344840.1	2571	XP_021324358.1	2547
10911	XP_014344841.1	2554	XP_021324368.1	2530
10912	XP_014344845.1	2551	XP_021324360.1	2523
10913	XP_014344846.1	2533	XP_021324366.1	2504
10914	XP_014344848.1	2499	XP_021324361.1	2481
10915	XP_014344849.1	2465	XP_021324369.1	2449
10916	XP_014344851.1	469 	XP_686502.2	508 
10917	XP_014344852.1	1420	XP_005167234.1	1446
10918	XP_014344854.1	309 	NP_001093461.1	320 
10919	XP_014344855.1	510 	XP_017208030.1	509 
10920	XP_014344856.1	1404	XP_017212363.1	1421
